Field_Id,Area,Subregion_3.0,Subregion_1.0,Subregion_4.0,Subregion_2.0,Subregion_5.0,Subregion_6.0,Subregion_0.0,Subregion_7.0,lat,lon,Area_0,Area_1,Area_2,Area_3,Area_4,distance_0,distance_1,distance_2,distance_3,distance_4,Cotton,Dates,Grass,Lucern,Maize,Pecan,Vacant,Vineyard,"Vineyard & Pecan (""Intercrop"")"
47,1.57893,1,0,0,0,0,0,0,0,21.887567791144438,-28.836203759233122,1.19817,1.63154,3.60251,1.07914,2.28447,86.76125402509162,105.76150112299433,200.34195728151283,216.5928173684673,217.1772088401935,0,0,1,2,0,0,2,0,0
49,1.07914,1,0,0,0,0,0,0,0,21.885764975660905,-28.837343985262866,1.78733,0.307578,3.06141,1.19817,5.01541,90.41584150321738,152.85125450683321,153.62329478619165,175.1352214800777,211.8707226428001,0,0,1,1,0,0,1,2,0
50,1.78733,1,0,0,0,0,0,0,0,21.8855731164875,-28.838139556007324,0.307578,1.07914,2.10369,5.01541,3.06141,62.447801093864726,90.41584150321738,139.81349240344113,159.10303424890253,210.8732876358026,0,0,1,1,0,1,0,2,0
51,0.307578,1,0,0,0,0,0,0,0,21.885456880067363,-28.83869185510047,1.78733,2.10369,5.01541,1.07914,0.59128,62.447801093864726,77.37855777862161,147.6967778352245,152.85125450683321,209.88369448819026,0,0,1,2,0,1,1,0,0
52,1.63154,1,0,0,0,0,0,0,0,21.887813545899306,-28.835277307156826,1.57893,2.28447,1.19817,3.60251,2.40882,105.76150112299433,156.58811193718623,191.84227539938172,279.5406563678042,282.8849983551277,0,0,0,1,0,0,3,1,0
55,3.06141,1,0,0,0,0,0,0,0,21.8845413104787,-28.836472375709892,1.07914,1.5407,0.266231,2.40882,0.442342,153.62329478619165,161.04351166687434,169.34429550358607,170.1188885962517,187.9713865340685,0,0,0,1,0,0,1,3,0
56,2.40882,1,0,0,0,0,0,0,0,21.88492922935858,-28.834980676775427,0.266231,1.16673,2.28447,3.06141,2.74429,129.33351705980564,135.56185474349235,159.2138538484698,170.1188885962517,199.92440605960743,0,0,0,0,0,0,2,3,0
58,0.266231,1,0,0,0,0,0,0,0,21.883621165498564,-28.83518022390756,2.40882,1.72433,1.5407,3.06141,2.74429,129.33351705980564,151.60875797219884,158.1181516692402,169.34429550358607,171.46395022988338,0,0,0,0,0,0,0,5,0
59,1.5407,1,0,0,0,0,0,0,0,21.882888216265492,-28.836449005463823,0.442342,1.72433,0.266231,3.06141,3.41559,126.0373258092054,131.1534835064524,158.1181516692402,161.04351166687434,173.35193207753213,0,0,1,0,0,0,1,3,0
60,0.442342,1,0,0,0,0,0,0,0,21.88307434428078,-28.837570698183807,3.41559,1.5407,5.01541,1.97371,3.06141,123.81590256469626,126.0373258092054,128.92412700754753,143.34683004526354,187.9713865340685,0,0,2,0,1,0,0,2,0
62,1.16673,1,0,0,0,0,0,0,0,21.88523823362798,-28.833791971435865,2.40882,2.28447,2.74429,0.266231,2.22834,135.56185474349235,143.75821805750192,164.0807432604333,220.54581287708203,270.90838165219117,0,0,0,0,0,0,2,3,0
64,2.28447,1,0,0,0,0,0,0,0,21.886470343896637,-28.834503628569866,1.16673,1.63154,2.40882,1.57893,0.266231,143.75821805750192,156.58811193718623,159.2138538484698,217.1772088401935,287.5500065611813,0,0,1,0,0,0,2,2,0
65,5.82118,1,0,0,0,0,0,0,0,22.173648610374553,-28.97996493980063,1.0803,1.59031,1.31619,1.81556,2.06441,255.49168286014176,275.92401734903706,316.6044505986296,412.8741784858476,451.90770440366316,1,0,0,0,0,1,0,2,1
66,1.26915,1,0,0,0,0,0,0,0,21.880864232223054,-28.839296794787796,1.63835,1.04563,1.97371,3.41559,2.46684,73.02703032649472,140.96274239259748,173.0023572039197,201.0770175487842,279.78401943963365,0,0,2,0,2,0,0,1,0
67,1.63835,1,0,0,0,0,0,0,0,21.88118384430854,-28.838702713275726,1.26915,3.41559,1.97371,1.04563,0.442342,73.02703032649472,128.12330080814615,131.88149719447463,166.60060169757477,223.0550232275575,0,0,1,0,2,0,1,1,0
68,3.41559,1,0,0,0,0,0,0,0,21.881810478862963,-28.83768962781327,0.442342,1.63835,1.97371,1.5407,1.26915,123.81590256469626,128.12330080814615,139.3909152741176,173.35193207753213,201.0770175487842,0,0,1,0,1,0,1,2,0
71,2.54086,1,0,0,0,0,0,0,0,21.878971131851046,-28.83625993535329,0.0859615,0.84721,2.50102,3.73569,1.72433,148.75207019571528,209.35540799505378,216.55288763621212,281.77338600944444,317.0836252135145,0,0,0,0,2,0,0,3,0
73,2.50102,1,0,0,0,0,0,0,0,21.881157708407454,-28.83590802237471,1.72433,1.5407,0.947691,3.41559,2.54086,103.3730751299147,178.97559812146494,183.91074590899677,208.0594071805854,216.55288763621212,0,0,1,0,0,0,0,4,0
74,1.72433,1,0,0,0,0,0,0,0,21.882105281507727,-28.8354894198516,2.50102,1.5407,0.947691,0.266231,2.22834,103.3730751299147,131.1534835064524,141.87618937176447,151.60875797219884,174.50249225599592,0,0,0,0,0,0,1,4,0
75,2.74429,1,0,0,0,0,0,0,0,21.883562856319642,-28.833639057879967,2.22834,1.16673,0.266231,2.40882,0.947691,112.62799826682601,164.0807432604333,171.46395022988338,199.92440605960743,205.9770885343005,0,0,0,0,0,0,2,3,0
76,2.22834,1,0,0,0,0,0,0,0,21.88246307868307,-28.833951700206324,0.947691,2.74429,1.72433,0.266231,3.73569,93.65260082978283,112.62799826682601,174.50249225599592,177.16272229786622,212.62626705034984,0,0,0,0,1,0,0,4,0
77,0.947691,1,0,0,0,0,0,0,0,21.881586283467783,-28.834297247668793,2.22834,3.73569,1.72433,2.50102,2.74429,93.65260082978283,131.35906648629495,141.87618937176447,183.91074590899677,205.9770885343005,0,0,0,0,1,0,1,3,0
78,3.73569,1,0,0,0,0,0,0,0,21.880280973430562,-28.83400055593897,0.947691,2.22834,2.50102,1.72433,6.14488,131.35906648629495,212.62626705034984,228.64823095124552,242.8713049429387,244.39037964848217,0,0,0,0,1,0,1,3,0
81,0.84721,1,0,0,0,0,0,0,0,21.8773245391967,-28.835049868629046,0.0859615,2.54086,6.14488,3.73569,2.50102,67.74576477100535,209.35540799505378,234.56299044501503,310.72085180599385,385.3804613450285,0,0,0,0,2,0,0,3,0
82,0.0859615,1,0,0,0,0,0,0,0,21.877650630780124,-28.835588001346427,0.84721,2.54086,6.14488,3.73569,2.50102,67.74576477100535,148.75207019571528,286.5272800987517,311.13521361124276,343.4637326378704,0,0,0,0,3,0,0,2,0
83,6.14488,1,0,0,0,0,0,0,0,21.878028520096173,-28.833032551986783,4.03233,0.84721,3.73569,0.0859615,2.4231,213.80392345705565,234.56299044501503,244.39037964848217,286.5272800987517,339.2996979472017,0,0,0,0,2,0,2,1,0
84,4.03233,1,0,0,0,0,0,0,0,21.879662289167577,-28.831748550132673,2.4231,6.14488,4.69615,3.73569,0.947691,129.71448576903305,213.80392345705565,231.4622248348673,257.56161544369786,339.76707850824914,0,0,0,1,2,0,1,1,0
85,2.4231,1,0,0,0,0,0,0,0,21.880884842597034,-28.831286184114322,4.03233,4.69615,3.73569,2.22834,6.14488,129.71448576903305,247.45627969376153,307.50302135466,333.8907901321974,339.2996979472017,0,0,0,1,2,0,2,0,0
91,4.69615,1,0,0,0,0,0,0,0,21.879064557953225,-28.829733899768524,4.03233,2.4231,2.89851,6.14488,3.73569,231.4622248348673,247.45627969376153,272.29359972077697,380.42428967409313,489.0038316425399,0,0,0,1,2,0,2,0,0
93,2.89851,1,0,0,0,0,0,0,0,21.878096814282745,-28.8274365491482,4.69615,5.06143,1.11035,3.67346,4.03233,272.29359972077697,278.70004260705554,339.9889105581171,473.85292379838114,503.1397488821479,0,0,0,3,0,0,2,0,0
94,1.11035,1,0,0,0,0,0,0,0,21.875843656232995,-28.825101519573096,5.06143,0.929616,3.67346,2.89851,2.76277,110.37484933839059,217.79340909712374,223.35035554181243,339.9889105581171,376.8569147387965,0,0,0,3,0,0,1,1,0
95,5.06143,1,0,0,0,0,0,0,0,21.876976185944624,-28.825130421567003,1.11035,3.67346,0.929616,2.89851,2.76277,110.37484933839059,202.59793152649985,248.9581306367474,278.70004260705554,367.45476944725874,0,0,0,3,0,0,1,1,0
96,6.12337,1,0,0,0,0,0,0,0,22.138745730052047,-28.92848697864487,0.685537,4.09763,0.602152,3.46042,5.01145,149.04521295340794,192.979456946504,271.03779840619126,285.7292725590347,303.1056008866698,0,0,1,0,0,0,1,3,0
97,3.46042,1,0,0,0,0,0,0,0,22.135832052653992,-28.928171008466794,4.09763,6.12337,0.685537,0.602152,2.22266,138.83092065295142,285.7292725590347,355.9912786867872,371.21323387033334,412.87446226528044,0,0,1,1,0,0,1,2,0
98,4.09763,1,0,0,0,0,0,0,0,22.13707291838627,-28.92755508997281,3.46042,6.12337,0.685537,0.602152,2.22266,138.83092065295142,192.979456946504,222.77663554914272,235.65769338438793,309.37254987579206,0,0,1,1,0,0,1,2,0
102,0.602152,1,0,0,0,0,0,0,0,22.138777235094395,-28.92604963309796,0.858839,0.685537,2.22266,4.09763,6.12337,124.87485390381836,144.08857821050924,174.51643666825905,235.65769338438793,271.03779840619126,0,0,1,1,0,0,1,2,0
103,0.858839,1,0,0,0,0,0,0,0,22.13855365763188,-28.924943787046857,2.22266,0.602152,2.77178,2.5474,0.685537,87.89121985953963,124.87485390381836,209.63156259982728,211.36437466078112,267.4710832090587,0,0,1,2,0,0,2,0,0
104,2.22266,1,0,0,0,0,0,0,0,22.13766154938316,-28.924820951738887,0.858839,0.602152,2.5474,2.77178,0.780662,87.89121985953963,174.51643666825905,180.88306109267967,216.13085529380152,254.80994755648442,0,0,2,1,0,0,2,0,0
106,1.32961,1,0,0,0,0,0,0,0,22.134561969636312,-28.92445406401647,0.780662,2.22266,2.5474,1.76024,0.858839,50.94258519026751,304.40986641673237,336.2932015834856,369.8551278336956,392.285126825521,0,0,1,2,0,0,2,0,0
107,0.780662,1,0,0,0,0,0,0,0,22.135083900478083,-28.924419401165963,1.32961,2.22266,2.5474,1.76024,0.858839,50.94258519026751,254.80994755648442,289.04454259516916,342.1225655647094,342.68797022574273,0,0,1,2,0,0,2,0,0
109,2.5474,1,0,0,0,0,0,0,0,22.137703486591878,-28.92319464555438,2.77178,2.22266,1.53722,1.76024,0.858839,88.45937392025533,180.88306109267967,204.26334835767548,205.28315448068037,211.36437466078112,0,0,1,4,0,0,0,0,0
110,2.77178,1,0,0,0,0,0,0,0,22.138599067837625,-28.923058944068373,2.5474,0.858839,2.22266,1.53722,1.76024,88.45937392025533,209.63156259982728,216.13085529380152,219.52676628043017,252.67323383964523,0,0,1,3,0,0,1,0,0
111,1.76024,1,0,0,0,0,0,0,0,22.136576874174104,-28.92163390688397,1.53722,0.915699,2.5474,2.26452,2.77178,87.30595006999414,122.82936359730775,205.28315448068037,227.94257636229295,252.67323383964523,0,0,0,4,0,0,1,0,0
112,1.53722,1,0,0,0,0,0,0,0,22.13742337689358,-28.921374095604985,1.76024,0.915699,2.5474,0.921307,2.77178,87.30595006999414,113.81756408390389,204.26334835767548,209.74271329014215,219.52676628043017,0,0,0,4,0,0,1,0,0
114,0.921307,1,0,0,0,0,0,0,0,22.139369493726683,-28.92056392872168,1.66101,1.41727,2.77068,1.53722,0.915699,116.92213722742963,174.43810110043898,192.53292712433205,209.74271329014215,255.29197823246759,0,0,0,5,0,0,0,0,0
116,2.77068,1,0,0,0,0,0,0,0,22.140285029854013,-28.919029044406802,1.66101,1.41727,0.921307,2.88253,3.98983,148.77345650799506,166.35652338487378,192.53292712433205,258.25320492926187,289.88241012429114,0,0,0,5,0,0,0,0,0
117,1.41727,1,0,0,0,0,0,0,0,22.14114070436182,-28.920324150117295,2.77068,0.921307,2.2541,1.66101,1.53722,166.35652338487378,174.43810110043898,198.2387464085169,232.59417307656912,380.16914457249123,0,0,0,5,0,0,0,0,0
119,1.52322,0,1,0,0,0,0,0,0,22.14834460740014,-28.91937499774889,4.42851,1.89593,2.15388,1.36729,2.2541,539.0097330670151,545.8446360368913,561.936752522902,570.3018818462697,659.7847761741315,0,0,0,1,0,0,0,4,0
122,4.42851,0,1,0,0,0,0,0,0,22.151367397063417,-28.923436688774125,1.52322,2.59851,1.89593,2.2541,1.36729,539.0097330670151,810.3967979721289,909.7477234702486,910.7639774389766,982.7155006483348,0,0,0,1,0,1,0,3,0
124,2.2541,1,0,0,0,0,0,0,0,22.142185802559563,-28.921854379747682,1.41727,0.921307,2.77068,2.77178,1.66101,198.2387464085169,309.39088806807314,364.5857836176625,373.8974373817461,406.5865906337471,0,0,0,5,0,0,0,0,0
127,2.52116,1,0,0,0,0,0,0,0,22.081479398908776,-28.859794061169133,1.07251,1.93889,0.80126,2.33844,3.19673,148.8543695179816,178.13747952057497,230.35969358539086,267.9686139437394,333.5854137512003,0,0,0,0,0,0,2,3,0
128,2.33844,1,0,0,0,0,0,0,0,22.080923216602745,-28.85743390475524,0.80126,1.91974,1.82965,2.52116,1.04786,74.67190764025091,143.22407993689717,169.16575061452212,267.9686139437394,387.750426313061,0,0,0,1,0,0,1,3,0
129,1.91974,1,0,0,0,0,0,0,0,22.08025467987353,-28.856286637381018,1.82965,2.33844,0.80126,1.04786,2.52116,107.7463353512312,143.22407993689717,184.70613134348253,270.8606870838553,407.8377640430259,0,0,0,1,0,0,1,3,0
130,1.82965,1,0,0,0,0,0,0,0,22.08129086127044,-28.855947026271444,1.91974,2.33844,1.04786,0.80126,1.10126,107.7463353512312,169.16575061452212,223.68091945215045,237.38783394787893,378.87679531508434,0,0,0,2,0,0,1,2,0
131,33.631,0,1,0,0,0,0,0,0,22.090356978123225,-28.85676625593897,1.44488,1.52304,2.31693,0.680039,0.980033,306.1295812924812,321.85037471206493,341.03678063219326,352.35702332794864,455.84690671662395,0,0,0,1,1,0,3,0,0
134,0.980033,0,1,0,0,0,0,0,0,22.08973082502059,-28.852703573819035,1.79677,2.91267,2.31693,0.85425,3.67323,117.58563523274447,150.74146965293008,200.10579570054603,212.27379778101934,276.409822141056,0,0,1,1,1,0,1,1,0
136,2.31693,0,1,0,0,0,0,0,0,22.091339989462632,-28.853822560914278,1.79677,0.980033,1.44488,0.85425,33.631,145.96007991755735,200.10579570054603,203.76636005301955,314.8176296879437,341.03678063219326,0,0,1,1,2,0,1,0,0
137,1.44488,0,1,0,0,0,0,0,0,22.092850801707932,-28.855090291372196,2.31693,33.631,1.79677,4.74555,0.980033,203.76636005301955,306.1295812924812,337.9596204416818,396.682550319181,403.4361134129598,0,0,1,0,2,0,2,0,0
138,1.79677,0,1,0,0,0,0,0,0,22.09092710422428,-28.852560706744033,0.980033,2.31693,0.85425,2.91267,1.44488,117.58563523274447,145.96007991755735,170.4038089040157,261.8545445551118,337.9596204416818,0,0,0,1,1,0,2,1,0
139,2.81299,0,1,0,0,0,0,0,0,22.086844832305516,-28.852973503289338,2.91267,3.01452,3.67323,0.980033,4.22507,156.914148352673,176.22702070173904,244.0986084681861,282.668968913705,346.58999856944297,0,0,0,0,3,0,1,1,0
140,0.80126,1,0,0,0,0,0,0,0,22.080420992894126,-28.857941340789953,2.33844,1.91974,2.52116,1.82965,1.07251,74.67190764025091,184.70613134348253,230.35969358539086,237.38783394787893,376.36829187380505,0,0,0,0,0,0,0,5,0
141,1.04786,1,0,0,0,0,0,0,0,22.081033214580405,-28.853948112498188,1.10126,0.834624,1.82965,0.182791,1.91974,155.4669494763331,210.27332710310858,223.68091945215045,223.805449705423,270.8606870838553,0,0,0,1,0,0,2,2,0
142,10.9537,0,1,0,0,0,0,0,0,22.08916408676986,-28.86086679147356,1.52304,0.680039,3.35918,13.4002,7.79242,189.13391666840883,231.12896639590764,238.4130799235297,278.4653287492474,465.39602171339334,0,0,1,3,0,0,1,0,0
143,13.4002,0,1,0,0,0,0,0,0,22.09202339237381,-28.86089282377721,1.52304,10.9537,1.43307,2.36303,3.35918,200.16852621039425,278.4653287492474,322.6664616981485,329.1107612901376,380.3235650163846,0,0,3,0,1,0,1,0,0
144,1.52304,0,1,0,0,0,0,0,0,22.090529047384308,-28.859656800094857,10.9537,13.4002,0.680039,33.631,3.35918,189.13391666840883,200.16852621039425,262.31294549480015,321.85037471206493,402.5863592424113,0,0,1,2,2,0,0,0,0
145,0.680039,0,1,0,0,0,0,0,0,22.08791119809469,-28.85910142476301,10.9537,1.52304,33.631,3.35918,13.4002,231.12896639590764,262.31294549480015,352.35702332794864,445.42304364293085,447.27009313410326,0,0,1,1,2,0,1,0,0
146,3.35918,0,1,0,0,0,0,0,0,22.088949475352507,-28.863002637813974,7.79242,10.9537,13.4002,1.52304,1.43307,232.80622528715543,238.4130799235297,380.3235650163846,402.5863592424113,408.5027483100762,0,0,1,2,1,0,1,0,0
147,4.74555,0,1,0,0,0,0,0,0,22.095411506711404,-28.857864602833256,2.1126,1.44488,13.4002,33.631,1.52304,208.96947664237453,396.682550319181,471.4349348845907,507.1710717139579,515.5554775349831,0,0,0,1,1,0,3,0,0
148,2.1126,0,1,0,0,0,0,0,0,22.096253214394526,-28.85959329187263,4.74555,0.595052,13.4002,2.36303,1.43307,208.96947664237453,361.3382485126516,436.5293994452266,469.10869011473073,546.1434040697471,0,0,3,1,0,0,1,0,0
150,1.07251,1,0,0,0,0,0,0,0,22.081802283099712,-28.8611025326433,1.93889,2.52116,3.19673,2.61301,0.80126,91.04300024718557,148.8543695179816,185.65181903315627,357.4357212727084,376.36829187380505,0,0,0,0,0,0,2,3,0
151,1.93889,1,0,0,0,0,0,0,0,22.080898891742947,-28.86131327786126,1.07251,2.52116,3.19673,2.61301,0.80126,91.04300024718557,178.13747952057497,214.9246666546116,367.0539816110406,377.8196817179121,0,0,0,0,0,0,1,4,0
152,3.19673,1,0,0,0,0,0,0,0,22.082477756856466,-28.862663824386868,2.61301,1.07251,1.93889,2.52116,0.969188,174.63819634958122,185.65181903315627,214.9246666546116,333.5854137512003,378.15154331484274,0,0,0,0,0,0,1,4,0
153,2.61301,1,0,0,0,0,0,0,0,22.082674899017885,-28.8642248648478,3.19673,0.969188,1.07251,1.93889,0.48134,174.63819634958122,205.08224017483133,357.4357212727084,367.0539816110406,399.88643015383303,0,0,0,0,0,0,1,4,0
154,0.969188,1,0,0,0,0,0,0,0,22.083282390142614,-28.865990815701803,0.48134,0.477207,2.61301,0.519965,3.19673,197.8667070108245,198.0920709997035,205.08224017483133,205.4879075048896,378.15154331484274,0,0,0,0,0,0,0,5,0
157,0.764251,1,0,0,0,0,0,0,0,22.085264222070556,-28.88308459113609,0.995694,1.01703,1.44682,1.17482,11.0622,177.7965535991002,255.69375176021126,292.068779800879,352.3732907821985,381.99455966526097,0,0,0,1,0,1,0,3,0
