,Field_Id,Area,Subregion,Crop_Id_Ne,geometry
15,20,2.48277,3,8,"POLYGON ((2437114.53609996 -3334832.94163592, 2437336.04232403 -3334843.470786858, 2437333.393520155 -3334949.364435408, 2437089.580463225 -3334939.247932381, 2437114.53609996 -3334832.94163592))"
16,21,0.704917,3,8,"POLYGON ((2437180.756196842 -3334602.12974493, 2437173.803086672 -3334830.008516832, 2437118.840406267 -3334827.376231015, 2437119.171506746 -3334801.053402182, 2437180.756196842 -3334602.12974493))"
17,22,3.28571,3,8,"POLYGON ((2437181.749498298 -3334591.224755183, 2437319.487299827 -3334595.737163622, 2437309.554285283 -3334836.777254203, 2437173.803086672 -3334830.008516832, 2437181.749498298 -3334591.224755183))"
18,24,2.21751,3,8,"POLYGON ((2437210.356580148 -3334513.837193733, 2437494.264881854 -3334516.387530834, 2437492.956318822 -3334596.903523561, 2437361.007300568 -3334591.675995957, 2437290.482897377 -3334587.915656647, 2437190.821651577 -3334584.155318432, 2437210.356580148 -3334513.837193733))"
19,25,0.828373,3,5,"POLYGON ((2437221.613996625 -3334471.721707293, 2437426.565196474 -3334474.729951802, 2437421.913935395 -3334515.73760508, 2437211.018781124 -3334510.076876904, 2437221.613996625 -3334471.721707293))"
20,26,1.20904,3,3,"POLYGON ((2437236.935671542 -3334411.251439577, 2437432.682277919 -3334414.861316311, 2437426.565196474 -3334474.729951802, 2437221.613996625 -3334471.721707293, 2437236.935671542 -3334411.251439577))"
21,27,3.60251,3,4,"POLYGON ((2436592.267577033 -3334255.638125427, 2436634.78087923 -3334279.102061695, 2436643.124611424 -3334283.163131884, 2436661.401358181 -3334278.650831752, 2436684.04863131 -3334287.224203341, 2436740.468153859 -3334298.053733402, 2436747.222603742 -3334307.529579587, 2436722.986048284 -3334508.328893996, 2436653.852267136 -3334502.011565008, 2436554.522121808 -3334484.413307588, 2436592.267577033 -3334255.638125427))"
22,29,2.83558,3,3,"POLYGON ((2436747.731174082 -3334404.228728065, 2436959.105723328 -3334406.93613406, 2436920.962947522 -3334568.93028412, 2436733.427633148 -3334519.745217694, 2436747.731174082 -3334404.228728065))"
23,30,2.22811,3,9,"POLYGON ((2436502.981695989 -3334759.354953886, 2436581.253850518 -3334777.856077351, 2436580.061888768 -3334813.504657653, 2436575.294041803 -3334848.250836181, 2436580.856529937 -3334852.763333691, 2436582.843132848 -3334861.337083297, 2436573.307438886 -3334903.754664366, 2436612.24485586 -3334924.061002088, 2436572.910118305 -3334976.135621816, 2436560.990500869 -3334998.247091785, 2436557.811936227 -3335016.748554714, 2436466.825523094 -3334958.085470081, 2436502.981695989 -3334759.354953886))"
24,31,0.662677,3,8,"POLYGON ((2436591.584185623 -3334797.25972287, 2436677.802751766 -3334805.382187732, 2436676.610790017 -3334822.529630166, 2436622.575190965 -3334905.559670888, 2436587.213659239 -3334889.765872365, 2436591.584185623 -3334797.25972287))"
25,33,4.37185,3,8,"POLYGON ((2436869.708592531 -3334909.620936466, 2436887.190698101 -3334911.425943784, 2437044.529648302 -3334975.052612003, 2437040.159121918 -3335013.860519744, 2437063.601036208 -3335226.403554502, 2437052.476059935 -3335224.598503506, 2436979.369072984 -3335121.711010322, 2436955.132517525 -3335100.050589059, 2436932.485244377 -3335091.025424161, 2436904.672803696 -3335085.61032823, 2436851.829166375 -3335079.292719158, 2436825.606008005 -3335082.000265528, 2436787.065911637 -3335092.830456642, 2436748.525815243 -3335118.552196642, 2436736.606197808 -3335116.295901629, 2436869.708592531 -3334909.620936466))"
26,34,3.45035,3,8,"POLYGON ((2437099.22744833 -3334748.675455572, 2437046.251370824 -3334959.258729183, 2436747.466293686 -3334844.340006263, 2437099.22744833 -3334748.675455572))"
27,36,3.48715,3,8,"POLYGON ((2436170.027048874 -3334660.833153837, 2436318.88982667 -3334714.982447856, 2436268.562553033 -3334935.191896954, 2436259.556619862 -3334935.191896954, 2436251.080447457 -3334941.81027138, 2436209.229346218 -3334920.75181898, 2436144.598531665 -3334869.610004934, 2436127.116426096 -3334855.771666255, 2436170.027048874 -3334660.833153837))"
28,37,2.46684,3,8,"POLYGON ((2435981.961973726 -3334624.132093703, 2436153.07470407 -3334673.467968963, 2436113.342645928 -3334846.145004546, 2436108.772096897 -3334842.645857819, 2436074.664795381 -3334816.533827109, 2435984.081016823 -3334773.343605794, 2435999.973840087 -3334698.737636006, 2435967.658432792 -3334689.111090401, 2435981.961973726 -3334624.132093703))"
29,38,1.04563,3,5,"POLYGON ((2435865.944363991 -3334623.530437838, 2435963.950107359 -3334662.036469034, 2435970.805835051 -3334674.812851976, 2435927.396613883 -3334757.098721126, 2435918.390680712 -3334757.098721126, 2435834.688478254 -3334693.924362317, 2435865.944363991 -3334623.530437838))"
30,39,1.97371,3,5,"POLYGON ((2435970.836997453 -3334394.30157757, 2436023.283314174 -3334450.856354466, 2435965.009628923 -3334653.011607748, 2435954.944174188 -3334650.604979146, 2435867.533646303 -3334615.708914161, 2435970.836997453 -3334394.30157757))"
31,40,5.01541,3,3,"POLYGON ((2436075.199870122 -3334311.876438345, 2436226.711451813 -3334381.065388661, 2436161.550876469 -3334656.621551522, 2435993.616710766 -3334612.098981753, 2436075.199870122 -3334311.876438345))"
32,41,3.01826,3,7,"POLYGON ((2436495.700576283 -3334752.069914231, 2436461.336551468 -3334946.210803762, 2436444.5951035 -3334942.207869588, 2436394.664469182 -3334926.529722624, 2436379.097859667 -3334928.531187145, 2436368.818023173 -3334934.20200495, 2436282.761106395 -3334939.205669777, 2436304.495617799 -3334824.789014874, 2436329.754644572 -3334823.788290542, 2436352.663994434 -3334816.449647854, 2436363.824959763 -3334808.777434901, 2436389.377696142 -3334726.71839664, 2436495.700576283 -3334752.069914231))"
33,42,0.59128,3,7,"POLYGON ((2436334.453998383 -3334695.229211935, 2436389.965115371 -3334707.237790346, 2436357.657057869 -3334802.973242042, 2436349.433188688 -3334809.978302723, 2436335.041417612 -3334811.979749327, 2436305.964165863 -3334809.31115393, 2436334.453998383 -3334695.229211935))"
34,46,1.19817,3,7,"POLYGON ((2436431.084461278 -3334237.443775966, 2436578.820396937 -3334295.149739093, 2436559.141852823 -3334398.554127718, 2436554.148789387 -3334398.887691595, 2436419.629786351 -3334275.136081301, 2436423.154301703 -3334250.452612385, 2436426.385107449 -3334236.776656508, 2436431.084461278 -3334237.443775966))"
35,47,1.57893,3,7,"POLYGON ((2436453.112682287 -3334127.969928978, 2436591.449910325 -3334194.014370051, 2436594.974425677 -3334207.023163072, 2436580.876364226 -3334287.744682117, 2436578.232977708 -3334289.412487375, 2436429.909622826 -3334230.372311365, 2436429.909622826 -3334220.365528397, 2436451.056714999 -3334135.308183673, 2436453.112682287 -3334127.969928978))"
36,49,1.07914,3,4,"POLYGON ((2436252.215306581 -3334308.492194714, 2436258.676918081 -3334307.157948541, 2436392.902211512 -3334334.176460262, 2436379.097859667 -3334403.891150713, 2436233.124181677 -3334376.87249433, 2436232.243052848 -3334366.198472684, 2436246.928533522 -3334308.492194714, 2436252.215306581 -3334308.492194714))"
37,50,1.78733,3,4,"POLYGON ((2436234.59272976 -3334384.210889276, 2436378.216730813 -3334408.89461175, 2436353.545123269 -3334520.639075866, 2436202.578381862 -3334507.963536183, 2436234.59272976 -3334384.210889276))"
38,51,0.307578,3,8,"POLYGON ((2436203.165801092 -3334509.631369656, 2436353.545123269 -3334520.639075866, 2436347.964640604 -3334542.320948645, 2436199.347576116 -3334528.311119029, 2436203.165801092 -3334509.631369656))"
39,52,1.63154,3,3,"POLYGON ((2436471.828380472 -3334016.529045775, 2436615.658430888 -3334061.049579267, 2436602.679291907 -3334182.880195716, 2436486.131921387 -3334125.724949777, 2436464.411729611 -3334094.740894986, 2436457.524839537 -3334073.984627676, 2436471.828380472 -3334016.529045775))"
40,55,3.06141,3,8,"POLYGON ((2436123.800714881 -3334122.919335568, 2436272.133731886 -3334176.314348741, 2436225.448563593 -3334372.223279421, 2436079.433249978 -3334306.042581621, 2436100.292580483 -3334219.932972683, 2436123.800714881 -3334122.919335568))"
41,56,2.40882,3,8,"POLYGON ((2436174.127988519 -3333941.603537462, 2436307.230383242 -3334016.05476253, 2436273.458133846 -3334161.198273493, 2436130.091624075 -3334107.803322306, 2436149.626552664 -3334030.343430153, 2436174.127988519 -3333941.603537462))"
42,58,0.266231,3,8,"POLYGON ((2436103.272484853 -3334149.165557473, 2436072.480139798 -3334103.291070954, 2436031.092579249 -3334022.071064917, 2436040.032292318 -3334020.566995502, 2436050.296407341 -3334023.951151911, 2436107.576791154 -3334114.571667401, 2436103.272484853 -3334149.165557473))"
43,59,1.5407,3,8,"POLYGON ((2435995.664827417 -3334149.917631769, 2436067.844733021 -3334267.23678344, 2436056.256216064 -3334301.831094057, 2436050.95860832 -3334312.359815533, 2436034.403584078 -3334325.896755639, 2436019.835162774 -3334324.768676764, 2435894.679179657 -3334228.506305595, 2435995.664827417 -3334149.917631769))"
44,60,0.442342,3,7,"POLYGON ((2436053.607412189 -3334340.185763257, 2436025.794971488 -3334437.351430841, 2436015.530856466 -3334435.47128334, 2435972.487793503 -3334384.707403302, 2435992.022722092 -3334339.960147227, 2436005.928942421 -3334350.11287251, 2436014.537555029 -3334352.369034765, 2436029.768177317 -3334352.369034765, 2436044.005498124 -3334345.224522314, 2436051.289708798 -3334340.712200676, 2436053.607412189 -3334340.185763257))"
45,62,1.16673,3,7,"POLYGON ((2436227.435166504 -3333827.821830946, 2436311.865790022 -3333875.575433376, 2436292.66196193 -3333979.731535907, 2436278.093540626 -3333979.731535907, 2436189.02751032 -3333930.849506807, 2436223.130860202 -3333830.077902708, 2436227.435166504 -3333827.821830946))"
46,64,2.28447,3,7,"POLYGON ((2436347.955742834 -3333894.000098456, 2436354.90885301 -3333892.49604318, 2436469.800721098 -3333935.737701459, 2436470.794022535 -3333946.266126952, 2436442.319380877 -3334088.024684686, 2436436.028471684 -3334093.664977514, 2436308.554785177 -3334062.455387789, 2436309.548086633 -3334054.182978951, 2436344.644737988 -3333895.880167777, 2436347.955742834 -3333894.000098456))"
47,65,5.82118,3,1,"POLYGON ((2468536.187821399 -3352235.963386165, 2468542.544950701 -3352282.353813123, 2468539.896146832 -3352325.732024879, 2468536.717582172 -3352335.974123829, 2468517.646194266 -3352345.011276694, 2468480.033179251 -3352367.302947338, 2468431.824948711 -3352408.271523095, 2468403.217866867 -3352440.203002797, 2468376.729828102 -3352475.146976379, 2468331.700162221 -3352537.805371785, 2468298.325233406 -3352575.762047078, 2468285.610974802 -3352590.221762138, 2468198.730207689 -3352557.687425937, 2468182.307623652 -3352546.84266535, 2468225.748007222 -3352457.674977818, 2468266.539586903 -3352362.48312341, 2468293.027625643 -3352306.452801733, 2468311.569252776 -3352302.837950588, 2468343.354899286 -3352317.899837012, 2468359.247722526 -3352321.514692356, 2468390.503608263 -3352287.776081657, 2468419.110690107 -3352231.143611067, 2468424.938058643 -3352226.323837761, 2468453.545140486 -3352235.360914177, 2468474.205810722 -3352243.795524529, 2468498.574806366 -3352240.783163062, 2468522.414041237 -3352231.143611067, 2468536.187821399 -3352235.963386165))"
48,66,1.26915,3,8,"POLYGON ((2435709.070696454 -3334505.835872711, 2435851.470392795 -3334632.664396713, 2435818.625224728 -3334696.825179399, 2435736.406352446 -3334621.978985739, 2435716.699251614 -3334600.896984424, 2435683.006466326 -3334556.61526629, 2435709.070696454 -3334505.835872711))"
49,67,1.63835,3,3,"POLYGON ((2435758.868209306 -3334425.792548243, 2435891.732211685 -3334553.342275712, 2435854.013244511 -3334631.316686736, 2435714.368304199 -3334506.172796944, 2435734.499213662 -3334457.318874068, 2435752.722984323 -3334423.626620268, 2435758.868209306 -3334425.792548243))"
50,68,3.41559,3,3,"POLYGON ((2435989.208194305 -3334338.289344573, 2435895.546489271 -3334543.715837592, 2435895.75839359 -3334545.400463748, 2435896.394106516 -3334545.881785555, 2435881.348900496 -3334537.458656637, 2435851.470392795 -3334506.991041547, 2435756.749166204 -3334409.524031338, 2435799.765741141 -3334301.950178122, 2435820.108554905 -3334300.987552572, 2435831.975196263 -3334305.319368094, 2435860.370373813 -3334307.966589405, 2435873.29653673 -3334310.373154697, 2435904.658374602 -3334305.078711641, 2435943.648767633 -3334302.912803733, 2435989.208194305 -3334338.289344573))"
51,71,2.54086,3,8,"POLYGON ((2435447.390063997 -3334146.174224916, 2435571.354085364 -3334114.889305299, 2435672.538393393 -3334297.185182359, 2435523.675615615 -3334308.616361985, 2435447.390063997 -3334146.174224916))"
52,73,2.50102,3,8,"POLYGON ((2435714.919255398 -3334075.422283155, 2435821.40117119 -3334047.145679246, 2435881.793899543 -3334285.994668862, 2435777.431026873 -3334291.409432254, 2435714.919255398 -3334075.422283155))"
53,74,1.72433,3,8,"POLYGON ((2435836.076876576 -3334036.135839801, 2435904.945777327 -3334030.871589676, 2435925.805107851 -3334044.408237179, 2435986.065396019 -3334149.693753653, 2435882.099843911 -3334234.29880339, 2435836.076876576 -3334036.135839801))"
54,75,2.74429,3,8,"POLYGON ((2436039.041473525 -3333749.162107709, 2436069.83381858 -3333774.730789497, 2436159.562049855 -3333936.41626316, 2436143.007025633 -3333997.330845927, 2436133.736212066 -3334002.219065533, 2436055.596497748 -3334008.987372637, 2435970.503673252 -3333793.155311904, 2436039.041473525 -3333749.162107709))"
55,76,2.22834,3,7,"POLYGON ((2435956.266352426 -3333805.563678409, 2435962.226161141 -3333814.211940857, 2436032.088363355 -3334000.338980853, 2436028.115157526 -3334010.115424166, 2435920.176399615 -3334023.276032515, 2435912.892188959 -3334015.003648572, 2435860.57831243 -3333879.638112323, 2435864.220417755 -3333868.35771449, 2435956.266352426 -3333805.563678409))"
56,77,0.947691,3,8,"POLYGON ((2435853.294101775 -3333886.406355719, 2435877.133336646 -3333952.960936463, 2435904.945777327 -3334030.871589676, 2435836.076876576 -3334036.135839801, 2435789.391708282 -3333935.288218014, 2435853.294101775 -3333886.406355719))"
57,78,3.73569,3,5,"POLYGON ((2435707.278788134 -3333776.986852055, 2435824.488359618 -3334030.420368337, 2435685.426156174 -3334071.030351655, 2435583.447206958 -3333854.821249972, 2435707.278788134 -3333776.986852055))"
58,81,0.84721,3,5,"POLYGON ((2435378.330456877 -3333987.404005593, 2435425.677826147 -3334109.233933053, 2435359.126628785 -3334137.059446735, 2435323.698876951 -3334021.621555306, 2435378.330456877 -3333987.404005593))"
59,82,0.0859615,3,8,"POLYGON ((2435426.340027125 -3334116.7543363, 2435432.630936318 -3334135.555363397, 2435392.236677223 -3334149.092119723, 2435384.621366071 -3334130.667093742, 2435426.340027125 -3334116.7543363))"
60,83,6.14488,3,5,"POLYGON ((2435525.007971468 -3333598.107370761, 2435602.158799008 -3333827.472621079, 2435289.926627529 -3334031.272675322, 2435274.03380429 -3334015.479937203, 2435299.197441096 -3333978.630289385, 2435319.725671122 -3333916.211736086, 2435342.902705042 -3333849.281330584, 2435364.093136045 -3333796.639680291, 2435393.892179637 -3333741.742185916, 2435412.433806771 -3333693.613066156, 2435431.637634862 -3333653.004259695, 2435525.007971468 -3333598.107370761))"
61,84,4.03233,3,7,"POLYGON ((2435703.917014557 -3333473.815653139, 2435702.327732227 -3333763.189782201, 2435602.158799008 -3333827.47262108, 2435529.625719571 -3333579.698164471, 2435695.440842152 -3333473.815653139, 2435703.917014557 -3333473.815653139))"
62,85,2.4231,3,7,"POLYGON ((2435712.651886812 -3333471.403226404, 2435765.098203533 -3333463.883195814, 2435776.488060202 -3333483.134482805, 2435790.526720735 -3333503.889808467, 2435806.684424376 -3333514.417884861, 2435812.511792905 -3333530.059614053, 2435812.511792905 -3333550.815014493, 2435817.279639877 -3333564.351163046, 2435835.556386615 -3333586.30983394, 2435854.362894125 -3333609.471759797, 2435874.228923193 -3333627.82084718, 2435797.678491205 -3333681.665039727, 2435786.02375414 -3333684.07148928, 2435709.208441755 -3333695.502130754, 2435712.651886812 -3333471.403226404))"
63,91,4.69615,3,4,"POLYGON ((2435546.360862444 -3333214.429196388, 2435706.282396412 -3333457.699728565, 2435694.693879449 -3333468.603769165, 2435531.461340635 -3333573.132621596, 2435528.150335808 -3333561.852489226, 2435513.913014957 -3333491.915886597, 2435508.615407219 -3333488.907869091, 2435505.966603344 -3333488.15586483, 2435473.849856361 -3333326.851953369, 2435461.599138428 -3333259.924576473, 2435464.247942315 -3333252.028672674, 2435471.201052473 -3333244.884763826, 2435509.277608196 -3333228.716984586, 2435546.360862444 -3333214.429196388))"
64,93,2.89851,3,4,"POLYGON ((2435355.514543217 -3333036.329471794, 2435371.804687063 -3333027.75692362, 2435385.31358681 -3333025.049804311, 2435398.425165995 -3333018.73319479, 2435407.960859957 -3333009.709472196, 2435419.483156812 -3332997.52745662, 2435425.840286114 -3332991.662045788, 2435429.813491917 -3332983.540712056, 2435441.335788772 -3332975.870568182, 2435447.295597512 -3332968.200428827, 2435450.474162154 -3332956.469636185, 2435462.79110017 -3332942.031752058, 2435472.326794114 -3332949.250692121, 2435487.42497621 -3333011.063030191, 2435549.406986894 -3333191.989880669, 2435539.076651788 -3333208.684005983, 2435510.866890507 -3333221.768605638, 2435458.023253205 -3333238.462769107, 2435455.242009126 -3333236.657993654, 2435355.514543217 -3333036.329471794))"
65,94,1.11035,3,4,"POLYGON ((2435175.247418519 -3332678.171008416, 2435214.670414034 -3332680.287679311, 2435244.662101045 -3332929.849799782, 2435215.260378029 -3332932.556899305, 2435205.724684071 -3332930.75216623, 2435187.845257912 -3332863.977218118, 2435178.309563968 -3332724.111882128, 2435175.247418519 -3332678.171008416))"
66,95,5.06143,3,4,"POLYGON ((2435227.105855569 -3332679.758511588, 2435418.1354043 -3332683.462685663, 2435427.131255619 -3332699.33771741, 2435428.224209607 -3332722.307177939, 2435432.594735999 -3332762.010728072, 2435437.362582974 -3332783.216082837, 2435440.143827051 -3332799.909684274, 2435443.719712276 -3332831.041052219, 2435432.197415419 -3332860.818952031, 2435418.291195065 -3332891.950465523, 2435405.974257044 -3332923.984419409, 2435400.809089497 -3332933.459265932, 2435382.929663338 -3332951.506611712, 2435371.010045905 -3332956.920820318, 2435355.911863796 -3332960.981478259, 2435332.867270093 -3332961.88384686, 2435312.603920441 -3332959.62792547, 2435261.746886048 -3332942.482935697, 2435254.595115583 -3332936.617549643, 2435225.253768537 -3332685.579356566, 2435227.105855569 -3332679.758511588))"
67,96,6.12337,3,8,"POLYGON ((2464453.512479273 -3345728.236914416, 2464607.672864814 -3345772.496476858, 2464629.128176193 -3345932.825746708, 2464613.632673535 -3345958.568940678, 2464261.209317908 -3346019.991504419, 2464453.512479273 -3345728.236914416))"
68,97,3.46042,3,8,"POLYGON ((2464130.755727053 -3345693.913275993, 2464271.407212828 -3345956.762399094, 2464228.099269463 -3346010.958756237, 2464215.385010866 -3346017.281679307, 2464189.956493676 -3345984.763822041, 2464182.407402631 -3345979.344187068, 2464173.26902925 -3345973.924554375, 2464166.911899948 -3345968.504923936, 2464160.952091227 -3345961.278753539, 2464141.086062158 -3345933.277381244, 2464111.684339147 -3345882.694410166, 2464075.92548684 -3345819.917604024, 2464012.354193826 -3345710.171830247, 2464130.755727053 -3345693.913275993))"
69,98,4.09763,3,8,"POLYGON ((2464417.621186756 -3345663.202729029, 2464427.55420128 -3345669.525482756, 2464431.527407102 -3345688.042136398, 2464428.348842442 -3345699.332791816, 2464279.750945041 -3345931.019208688, 2464264.652762945 -3345931.019208688, 2464143.072665076 -3345688.493762424, 2464417.621186756 -3345663.202729029))"
70,102,0.602152,3,3,"POLYGON ((2464422.428765778 -3345518.683483153, 2464468.915273804 -3345524.554546168, 2464479.245608909 -3345535.845059443, 2464483.616135294 -3345546.683961416, 2464495.535752755 -3345558.426115421, 2464516.991064134 -3345572.878011866, 2464530.4999639 -3345588.684792015, 2464536.857093202 -3345605.846460822, 2464496.330393898 -3345616.233797691, 2464479.245608909 -3345623.459776071, 2464471.696517858 -3345633.395502913, 2464422.428765778 -3345518.683483153))"
71,103,0.858839,3,3,"POLYGON ((2464418.852880556 -3345357.907712034, 2464484.410776462 -3345375.972306157, 2464492.357188094 -3345380.488458616, 2464487.192020541 -3345421.133901402, 2464467.325991473 -3345518.683483153, 2464428.388574499 -3345513.264042708, 2464418.852880556 -3345357.907712034))"
72,104,2.22266,3,4,"POLYGON ((2464290.624284944 -3345317.714080266, 2464415.118067097 -3345349.628114795, 2464424.91864143 -3345511.608103041, 2464304.133184711 -3345497.457354379, 2464291.154045729 -3345490.833604974, 2464289.5647634 -3345460.123538292, 2464286.386198739 -3345340.896908873, 2464290.624284944 -3345317.714080266))"
73,106,1.32961,3,7,"POLYGON ((2464068.389639814 -3345254.36796484, 2464078.190214153 -3345257.980852852, 2464010.38083494 -3345468.433313876, 2463941.247053786 -3345462.411736832, 2463941.776814578 -3345446.454571184, 2463951.047628125 -3345413.637065722, 2463965.880929826 -3345382.9271816, 2463985.217198128 -3345345.894770855, 2464004.288586034 -3345306.152789011, 2464024.154615102 -3345279.658202009, 2464051.172414615 -3345262.798038425, 2464068.389639814 -3345254.36796484))"
74,107,0.780662,3,7,"POLYGON ((2464082.163419957 -3345260.389445413, 2464116.597870336 -3345271.228117472, 2464052.231936173 -3345471.745182438, 2464014.883801535 -3345467.831156052, 2464082.163419957 -3345260.389445413))"
75,109,2.5474,3,7,"POLYGON ((2464300.954620069 -3345095.401887498, 2464375.412496987 -3345066.559387318, 2464379.650583211 -3345070.47329277, 2464393.159482958 -3345111.298407668, 2464404.019578855 -3345152.244079543, 2464419.912402095 -3345339.210883586, 2464416.733837453 -3345345.2324035, 2464289.5647634 -3345311.57214301, 2464314.728400212 -3345215.830555285, 2464300.954620069 -3345095.401887498))"
76,110,2.77178,3,4,"POLYGON ((2464397.033358625 -3345060.086392426, 2464428.487904656 -3345047.290946896, 2464454.313742438 -3345040.140556355, 2464488.417092339 -3345028.474138144, 2464500.005609277 -3345125.569163949, 2464500.005609277 -3345162.450410486, 2464501.661111709 -3345227.933698162, 2464501.661111709 -3345238.847611538, 2464500.667810253 -3345275.729179792, 2464502.985513649 -3345302.073221233, 2464508.283121388 -3345357.772227675, 2464507.289819951 -3345365.223869634, 2464500.336709775 -3345368.987326793, 2464488.748192817 -3345368.987326793, 2464482.457283598 -3345366.352906666, 2464472.524269074 -3345365.976560972, 2464459.611350183 -3345364.094832696, 2464454.644842917 -3345360.707722482, 2464446.367330812 -3345359.955031442, 2464438.752019678 -3345356.191576906, 2464430.143407069 -3345344.901219836, 2464397.033358625 -3345060.086392426))"
